RK,Team,Total PointsPTS,date
1,BrazilBRA,817,5/19/1999
2,FranceFRA,785,5/19/1999
3,GermanyGER,742,5/19/1999
4,ItalyITA,740,5/19/1999
5,Czech RepublicCZE,736,5/19/1999
6,CroatiaCRO,730,5/19/1999
7,ArgentinaARG,729,5/19/1999
8,SpainESP,724,5/19/1999
9,NetherlandsNED,703,5/19/1999
10,RomaniaROU,701,5/19/1999
11,EnglandENG,695,5/19/1999
12,NorwayNOR,690,5/19/1999
13,MexicoMEX,679,5/19/1999
14,SwedenSWE,673,5/19/1999
15,PortugalPOR,670,5/19/1999
16,YugoslaviaYUG,647,5/19/1999
17,AustriaAUT,642,5/19/1999
18,DenmarkDEN,634,5/19/1999
19,MoroccoMAR,631,5/19/1999
20,ParaguayPAR,614,5/19/1999
21,ScotlandSCO,603,5/19/1999
22,UkraineUKR,603,5/19/1999
23,ChileCHI,600,5/19/1999
24,USAUSA,596,5/19/1999
25,SlovakiaSVK,596,5/19/1999
26,South AfricaRSA,596,5/19/1999
27,BelgiumBEL,593,5/19/1999
28,TunisiaTUN,591,5/19/1999
29,PolandPOL,590,5/19/1999
30,BulgariaBUL,589,5/19/1999
31,ColombiaCOL,586,5/19/1999
32,IsraelISR,583,5/19/1999
33,RussiaRUS,568,5/19/1999
34,Korea RepublicKOR,566,5/19/1999
35,EgyptEGY,565,5/19/1999
36,ZambiaZAM,564,5/19/1999
37,GreeceGRE,562,5/19/1999
38,Republic of IrelandIRL,557,5/19/1999
39,Saudi ArabiaKSA,557,5/19/1999
40,JamaicaJAM,555,5/19/1999
41,JapanJPN,550,5/19/1999
42,TurkeyTUR,540,5/19/1999
43,CameroonCMR,540,5/19/1999
44,HungaryHUN,540,5/19/1999
45,Côte d'IvoireCIV,538,5/19/1999
46,GhanaGHA,538,5/19/1999
47,IR IranIRN,530,5/19/1999
48,IcelandISL,525,5/19/1999
49,KuwaitKUW,517,5/19/1999
50,BoliviaBOL,515,5/19/1999
1,BrazilBRA,808,6/16/1999
2,FranceFRA,781,6/16/1999
3,Czech RepublicCZE,753,6/16/1999
4,ItalyITA,750,6/16/1999
5,GermanyGER,733,6/16/1999
6,SpainESP,732,6/16/1999
7,CroatiaCRO,723,6/16/1999
8,ArgentinaARG,716,6/16/1999
9,RomaniaROU,704,6/16/1999
10,NetherlandsNED,700,6/16/1999
11,NorwayNOR,699,6/16/1999
12,PortugalPOR,685,6/16/1999
13,EnglandENG,684,6/16/1999
14,MexicoMEX,672,6/16/1999
15,SwedenSWE,668,6/16/1999
16,YugoslaviaYUG,645,6/16/1999
17,DenmarkDEN,642,6/16/1999
18,MoroccoMAR,637,6/16/1999
19,AustriaAUT,632,6/16/1999
20,SlovakiaSVK,614,6/16/1999
21,ParaguayPAR,613,6/16/1999
22,IsraelISR,610,6/16/1999
23,PolandPOL,607,6/16/1999
24,RussiaRUS,607,6/16/1999
25,UkraineUKR,606,6/16/1999
26,TunisiaTUN,605,6/16/1999
27,ScotlandSCO,601,6/16/1999
28,South AfricaRSA,598,6/16/1999
29,ChileCHI,597,6/16/1999
30,BelgiumBEL,594,6/16/1999
31,USAUSA,592,6/16/1999
32,ColombiaCOL,583,6/16/1999
33,BulgariaBUL,575,6/16/1999
34,ZambiaZAM,573,6/16/1999
35,Republic of IrelandIRL,571,6/16/1999
36,GreeceGRE,570,6/16/1999
37,TurkeyTUR,566,6/16/1999
38,Korea RepublicKOR,564,6/16/1999
39,EgyptEGY,558,6/16/1999
40,Saudi ArabiaKSA,557,6/16/1999
41,JamaicaJAM,553,6/16/1999
42,JapanJPN,546,6/16/1999
43,Côte d'IvoireCIV,541,6/16/1999
44,IR IranIRN,537,6/16/1999
45,GhanaGHA,535,6/16/1999
46,HungaryHUN,532,6/16/1999
47,IcelandISL,532,6/16/1999
48,CameroonCMR,527,6/16/1999
49,EcuadorECU,522,6/16/1999
50,LithuaniaLTU,522,6/16/1999
1,BrazilBRA,835,7/21/1999
2,FranceFRA,762,7/21/1999
3,Czech RepublicCZE,753,7/21/1999
4,ItalyITA,726,7/21/1999
5,GermanyGER,720,7/21/1999
6,ArgentinaARG,719,7/21/1999
7,CroatiaCRO,719,7/21/1999
8,SpainESP,714,7/21/1999
9,RomaniaROU,694,7/21/1999
10,NorwayNOR,690,7/21/1999
11,MexicoMEX,688,7/21/1999
12,PortugalPOR,682,7/21/1999
13,NetherlandsNED,680,7/21/1999
14,EnglandENG,672,7/21/1999
15,SwedenSWE,666,7/21/1999
16,ParaguayPAR,647,7/21/1999
17,DenmarkDEN,632,7/21/1999
18,ColombiaCOL,629,7/21/1999
19,MoroccoMAR,626,7/21/1999
20,AustriaAUT,625,7/21/1999
21,YugoslaviaYUG,624,7/21/1999
22,ChileCHI,618,7/21/1999
23,SlovakiaSVK,613,7/21/1999
24,UkraineUKR,611,7/21/1999
25,IsraelISR,610,7/21/1999
26,PolandPOL,607,7/21/1999
27,RussiaRUS,602,7/21/1999
28,TunisiaTUN,596,7/21/1999
29,South AfricaRSA,595,7/21/1999
30,USAUSA,594,7/21/1999
31,ScotlandSCO,592,7/21/1999
32,ZambiaZAM,589,7/21/1999
33,BelgiumBEL,587,7/21/1999
34,BulgariaBUL,573,7/21/1999
35,GreeceGRE,568,7/21/1999
36,Republic of IrelandIRL,567,7/21/1999
37,Korea RepublicKOR,563,7/21/1999
38,EgyptEGY,562,7/21/1999
39,TurkeyTUR,562,7/21/1999
40,Saudi ArabiaKSA,556,7/21/1999
41,PeruPER,554,7/21/1999
42,UruguayURU,549,7/21/1999
43,JamaicaJAM,549,7/21/1999
44,JapanJPN,542,7/21/1999
45,Côte d'IvoireCIV,540,7/21/1999
46,GhanaGHA,532,7/21/1999
47,IcelandISL,532,7/21/1999
48,HungaryHUN,531,7/21/1999
49,Trinidad and TobagoTRI,529,7/21/1999
50,IR IranIRN,527,7/21/1999
1,BrazilBRA,842,8/18/1999
2,FranceFRA,755,8/18/1999
3,Czech RepublicCZE,753,8/18/1999
4,ItalyITA,720,8/18/1999
5,GermanyGER,718,8/18/1999
6,ArgentinaARG,715,8/18/1999
7,SpainESP,713,8/18/1999
8,CroatiaCRO,712,8/18/1999
9,MexicoMEX,709,8/18/1999
10,RomaniaROU,694,8/18/1999
11,NorwayNOR,689,8/18/1999
12,PortugalPOR,679,8/18/1999
13,NetherlandsNED,669,8/18/1999
14,EnglandENG,665,8/18/1999
15,SwedenSWE,664,8/18/1999
16,ParaguayPAR,647,8/18/1999
17,DenmarkDEN,627,8/18/1999
18,ColombiaCOL,627,8/18/1999
19,MoroccoMAR,625,8/18/1999
20,AustriaAUT,623,8/18/1999
21,USAUSA,623,8/18/1999
22,YugoslaviaYUG,620,8/18/1999
23,ChileCHI,618,8/18/1999
24,SlovakiaSVK,612,8/18/1999
25,UkraineUKR,610,8/18/1999
26,IsraelISR,609,8/18/1999
27,PolandPOL,606,8/18/1999
28,RussiaRUS,598,8/18/1999
29,TunisiaTUN,594,8/18/1999
