RK,Team,Total PointsPTS,date
1,USAUSA,2197,6/25/2021
2,GermanyGER,2073,6/25/2021
3,FranceFRA,2039,6/25/2021
4,NetherlandsNED,2035,6/25/2021
5,SwedenSWE,2011,6/25/2021
6,EnglandENG,1974,6/25/2021
7,BrazilBRA,1971,6/25/2021
8,CanadaCAN,1962,6/25/2021
9,AustraliaAUS,1952,6/25/2021
10,JapanJPN,1942,6/25/2021
11,Korea DPRPRK,1940,6/25/2021
12,SpainESP,1936,6/25/2021
13,NorwayNOR,1931,6/25/2021
14,ItalyITA,1886,6/25/2021
15,China PRCHN,1875,6/25/2021
16,DenmarkDEN,1869,6/25/2021
17,IcelandISL,1830,6/25/2021
18,Korea RepublicKOR,1811,6/25/2021
19,BelgiumBEL,1810,6/25/2021
20,SwitzerlandSUI,1800,6/25/2021
21,AustriaAUT,1785,6/25/2021
22,New ZealandNZL,1757,6/25/2021
23,ScotlandSCO,1754,6/25/2021
24,RussiaRUS,1707,6/25/2021
25,FinlandFIN,1705,6/25/2021
26,ColombiaCOL,1704,6/25/2021
27,Czech RepublicCZE,1692,6/25/2021
28,MexicoMEX,1678,6/25/2021
29,PolandPOL,1677,6/25/2021
30,PortugalPOR,1670,6/25/2021
31,UkraineUKR,1660,6/25/2021
32,VietnamVIE,1657,6/25/2021
33,Republic of IrelandIRL,1654,6/25/2021
34,WalesWAL,1653,6/25/2021
35,ArgentinaARG,1652,6/25/2021
36,Costa RicaCRC,1643,6/25/2021
37,ChileCHI,1622,6/25/2021
38,NigeriaNGA,1614,6/25/2021
39,ThailandTHA,1596,6/25/2021
40,Chinese TaipeiTPE,1589,6/25/2021
41,SerbiaSRB,1572,6/25/2021
42,RomaniaROU,1549,6/25/2021
43,UzbekistanUZB,1537,6/25/2021
44,HungaryHUN,1519,6/25/2021
45,SlovakiaSVK,1516,6/25/2021
46,MyanmarMYA,1511,6/25/2021
47,Papua New GuineaPNG,1504,6/25/2021
48,Northern IrelandNIR,1501,6/25/2021
49,SloveniaSVN,1493,6/25/2021
50,ParaguayPAR,1490,6/25/2021
1,USAUSA,2200,4/16/2021
2,GermanyGER,2089,4/16/2021
3,NetherlandsNED,2039,4/16/2021
4,FranceFRA,2030,4/16/2021
5,SwedenSWE,2017,4/16/2021
6,EnglandENG,1974,4/16/2021
7,BrazilBRA,1971,4/16/2021
8,CanadaCAN,1968,4/16/2021
9,AustraliaAUS,1951,4/16/2021
10,Korea DPRPRK,1940,4/16/2021
11,JapanJPN,1938,4/16/2021
12,NorwayNOR,1936,4/16/2021
13,SpainESP,1929,4/16/2021
14,China PRCHN,1875,4/16/2021
15,ItalyITA,1874,4/16/2021
16,DenmarkDEN,1869,4/16/2021
17,IcelandISL,1829,4/16/2021
18,BelgiumBEL,1814,4/16/2021
19,Korea RepublicKOR,1811,4/16/2021
20,SwitzerlandSUI,1800,4/16/2021
21,AustriaAUT,1790,4/16/2021
22,New ZealandNZL,1757,4/16/2021
23,ScotlandSCO,1746,4/16/2021
24,FinlandFIN,1711,4/16/2021
25,RussiaRUS,1704,4/16/2021
26,ColombiaCOL,1704,4/16/2021
27,Czech RepublicCZE,1695,4/16/2021
28,MexicoMEX,1681,4/16/2021
29,PortugalPOR,1669,4/16/2021
30,PolandPOL,1668,4/16/2021
31,UkraineUKR,1661,4/16/2021
32,WalesWAL,1658,4/16/2021
33,VietnamVIE,1657,4/16/2021
34,Republic of IrelandIRL,1656,4/16/2021
35,ArgentinaARG,1652,4/16/2021
36,Costa RicaCRC,1643,4/16/2021
37,ChileCHI,1621,4/16/2021
38,NigeriaNGA,1620,4/16/2021
39,ThailandTHA,1596,4/16/2021
40,Chinese TaipeiTPE,1589,4/16/2021
41,SerbiaSRB,1572,4/16/2021
42,RomaniaROU,1549,4/16/2021
43,UzbekistanUZB,1534,4/16/2021
44,HungaryHUN,1519,4/16/2021
45,MyanmarMYA,1511,4/16/2021
46,SlovakiaSVK,1511,4/16/2021
47,Papua New GuineaPNG,1504,4/16/2021
48,Northern IrelandNIR,1504,4/16/2021
49,ParaguayPAR,1490,4/16/2021
50,SloveniaSVN,1489,4/16/2021
1,USAUSA,2192,12/18/2020
2,GermanyGER,2091,12/18/2020
3,FranceFRA,2032,12/18/2020
4,NetherlandsNED,2023,12/18/2020
5,SwedenSWE,2009,12/18/2020
6,EnglandENG,1999,12/18/2020
7,AustraliaAUS,1963,12/18/2020
8,BrazilBRA,1958,12/18/2020
8,CanadaCAN,1958,12/18/2020
10,JapanJPN,1937,12/18/2020
11,NorwayNOR,1932,12/18/2020
12,SpainESP,1919,12/18/2020
13,ItalyITA,1877,12/18/2020
14,DenmarkDEN,1868,12/18/2020
15,China PRCHN,1867,12/18/2020
16,IcelandISL,1826,12/18/2020
17,BelgiumBEL,1825,12/18/2020
18,Korea RepublicKOR,1818,12/18/2020
19,SwitzerlandSUI,1808,12/18/2020
20,AustriaAUT,1796,12/18/2020
21,ScotlandSCO,1762,12/18/2020
22,New ZealandNZL,1757,12/18/2020
23,RussiaRUS,1706,12/18/2020
24,UkraineUKR,1702,12/18/2020
25,FinlandFIN,1701,12/18/2020
26,ColombiaCOL,1700,12/18/2020
27,Czech RepublicCZE,1689,12/18/2020
28,MexicoMEX,1686,12/18/2020
29,PolandPOL,1672,12/18/2020
30,PortugalPOR,1666,12/18/2020
31,WalesWAL,1659,12/18/2020
31,ArgentinaARG,1659,12/18/2020
31,Republic of IrelandIRL,1659,12/18/2020
34,VietnamVIE,1657,12/18/2020
35,Costa RicaCRC,1644,12/18/2020
36,ChileCHI,1628,12/18/2020
37,NigeriaNGA,1614,12/18/2020
38,ThailandTHA,1596,12/18/2020
39,Chinese TaipeiTPE,1589,12/18/2020
40,SerbiaSRB,1560,12/18/2020
41,UzbekistanUZB,1543,12/18/2020
42,RomaniaROU,1538,12/18/2020
43,HungaryHUN,1524,12/18/2020
44,MyanmarMYA,1511,12/18/2020
45,SlovakiaSVK,1510,12/18/2020
46,Papua New GuineaPNG,1504,12/18/2020
47,ParaguayPAR,1490,12/18/2020
48,SloveniaSVN,1476,12/18/2020
49,Northern IrelandNIR,1466,12/18/2020
50,JamaicaJAM,1460,12/18/2020
1,USAUSA,2181,8/14/2020
2,GermanyGER,2090,8/14/2020
3,FranceFRA,2036,8/14/2020
4,NetherlandsNED,2032,8/14/2020
5,SwedenSWE,2007,8/14/2020
6,EnglandENG,1999,8/14/2020
7,AustraliaAUS,1963,8/14/2020
8,BrazilBRA,1958,8/14/2020
8,CanadaCAN,1958,8/14/2020
10,Korea DPRPRK,1940,8/14/2020
11,JapanJPN,1937,8/14/2020
12,NorwayNOR,1930,8/14/2020
13,SpainESP,1915,8/14/2020
14,ItalyITA,1889,8/14/2020
15,China PRCHN,1867,8/14/2020
16,DenmarkDEN,1851,8/14/2020
17,BelgiumBEL,1819,8/14/2020
18,Korea RepublicKOR,1818,8/14/2020
19,IcelandISL,1817,8/14/2020
20,SwitzerlandSUI,1815,8/14/2020
21,ScotlandSCO,1804,8/14/2020
22,AustriaAUT,1792,8/14/2020
23,New ZealandNZL,1757,8/14/2020
24,RussiaRUS,1708,8/14/2020
25,ColombiaCOL,1700,8/14/2020
26,UkraineUKR,1692,8/14/2020
27,MexicoMEX,1686,8/14/2020
28,PolandPOL,1683,8/14/2020
29,Czech RepublicCZE,1678,8/14/2020
30,FinlandFIN,1671,8/14/2020
31,Republic of IrelandIRL,1666,8/14/2020
32,PortugalPOR,1659,8/14/2020
32,ArgentinaARG,1659,8/14/2020
34,WalesWAL,1658,8/14/2020
35,VietnamVIE,1657,8/14/2020
36,Costa RicaCRC,1644,8/14/2020
37,ChileCHI,1640,8/14/2020
38,NigeriaNGA,1614,8/14/2020
39,ThailandTHA,1596,8/14/2020
40,Chinese TaipeiTPE,1589,8/14/2020
41,SerbiaSRB,1558,8/14/2020
42,UzbekistanUZB,1543,8/14/2020
43,HungaryHUN,1537,8/14/2020
44,RomaniaROU,1535,8/14/2020
45,MyanmarMYA,1511,8/14/2020
46,Papua New GuineaPNG,1504,8/14/2020
47,SlovakiaSVK,1501,8/14/2020
48,ParaguayPAR,1490,8/14/2020
49,SloveniaSVN,1471,8/14/2020
50,JamaicaJAM,1460,8/14/2020
1,USAUSA,2181,6/26/2020
2,GermanyGER,2090,6/26/2020
3,FranceFRA,2036,6/26/2020
4,NetherlandsNED,2032,6/26/2020
5,SwedenSWE,2007,6/26/2020
6,EnglandENG,1999,6/26/2020
7,AustraliaAUS,1963,6/26/2020
8,BrazilBRA,1958,6/26/2020
8,CanadaCAN,1958,6/26/2020
10,Korea DPRPRK,1940,6/26/2020
11,JapanJPN,1937,6/26/2020
12,NorwayNOR,1930,6/26/2020
13,SpainESP,1915,6/26/2020
14,ItalyITA,1889,6/26/2020
15,China PRCHN,1867,6/26/2020
16,DenmarkDEN,1851,6/26/2020
17,BelgiumBEL,1819,6/26/2020
18,Korea RepublicKOR,1818,6/26/2020
19,IcelandISL,1817,6/26/2020
20,SwitzerlandSUI,1815,6/26/2020
21,ScotlandSCO,1804,6/26/2020
22,AustriaAUT,1792,6/26/2020
23,New ZealandNZL,1757,6/26/2020
24,RussiaRUS,1708,6/26/2020
25,ColombiaCOL,1700,6/26/2020
26,UkraineUKR,1692,6/26/2020
27,MexicoMEX,1686,6/26/2020
28,PolandPOL,1683,6/26/2020
29,Czech RepublicCZE,1678,6/26/2020
30,FinlandFIN,1671,6/26/2020
31,Republic of IrelandIRL,1666,6/26/2020
32,PortugalPOR,1659,6/26/2020
32,ArgentinaARG,1659,6/26/2020
34,WalesWAL,1658,6/26/2020
35,VietnamVIE,1657,6/26/2020
36,Costa RicaCRC,1644,6/26/2020
37,ChileCHI,1640,6/26/2020
38,NigeriaNGA,1614,6/26/2020
39,ThailandTHA,1596,6/26/2020
40,Chinese TaipeiTPE,1589,6/26/2020
41,SerbiaSRB,1558,6/26/2020
42,UzbekistanUZB,1543,6/26/2020
43,HungaryHUN,1537,6/26/2020
44,RomaniaROU,1535,6/26/2020
45,MyanmarMYA,1511,6/26/2020
46,Papua New GuineaPNG,1504,6/26/2020
47,SlovakiaSVK,1501,6/26/2020
48,ParaguayPAR,1490,6/26/2020
49,SloveniaSVN,1471,6/26/2020
50,JamaicaJAM,1460,6/26/2020
1,USAUSA,2181,3/27/2020
2,GermanyGER,2090,3/27/2020
3,FranceFRA,2036,3/27/2020
4,NetherlandsNED,2032,3/27/2020
5,SwedenSWE,2007,3/27/2020
6,EnglandENG,1999,3/27/2020
7,AustraliaAUS,1963,3/27/2020
8,BrazilBRA,1958,3/27/2020
8,CanadaCAN,1958,3/27/2020
10,Korea DPRPRK,1940,3/27/2020
11,JapanJPN,1937,3/27/2020
12,NorwayNOR,1930,3/27/2020
13,SpainESP,1915,3/27/2020
14,ItalyITA,1889,3/27/2020
15,China PRCHN,1867,3/27/2020
16,DenmarkDEN,1851,3/27/2020
17,BelgiumBEL,1819,3/27/2020
18,Korea RepublicKOR,1818,3/27/2020
19,IcelandISL,1817,3/27/2020
